"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"10/16/2017","Catholic United Financial","St. Paul","Minnesota","HACK","BSF","127,310","""A data breach at an Arden Hills-based financial services company serving Catholic Church members in the upper Midwest has affected nearly 130,000 current and former members.The unidentified hacker accessed the first and last names, mailing addresses, dates of birth, email addresses, insurance policy information, and Social Security numbers of members. Beneficiary information, log-in credentials and other information were not accessed.""","Media","http://www.twincities.com/2017/10/16/catholic-united-financial-data-breach-may-have-affected-nearly-130k-accounts/",2017,44.953703,-93.089958,NA,NA,"",127310,2017-10-16,2017-10-20,4,1.38629436111989,11.7543803360557,0
"10/20/2017","Iowa Department of Human Services","","IA","HACK","MED","820","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",820,2017-10-20,2017-10-21,1,0,6.7093043402583,0
"10/21/2017","Recovery Institute of the South East P.A.","","FL","HACK","MED","689","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",689,2017-10-21,2017-10-25,4,1.38629436111989,6.53524127101366,0
"10/25/2017","MGA Home Healthcare Colorado, Inc.","","AZ","HACK","MED","2898","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",2898,2017-10-25,2017-10-27,2,0.693147180559945,7.97177612288063,0
"10/27/2017","Catholic Charities of the Diocese of Albany","","NY","HACK","MED","4624","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",4624,2017-10-27,2017-10-31,4,1.38629436111989,8.43901541035221,0
"10/31/2017","East Central Kansas Area Agency on Aging","","KS","HACK","MED","8750","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",8750,2017-10-31,2017-11-03,3,1.09861228866811,9.07680897935166,0
"11/3/2017","HumanGood","Pleasanton","California","HACK","BSO","4,844","""Dear Sir or Madam: I represent HumanGood, located in Pleasanton, California. This letter is being sent pursuant to California Civil Code §1798.82 because HumanGood learned on September 27, 2017 that the personal information of 4,844 HumanGood employees who reside in California may have been involved in a data security incident. The information that may have been involved included names, addresses, email addresses, dates of birth, wage information and health information that is maintained by a HumanGood third-party service provider. The incident occurred on September 27, 2017. Immediately upon discovering the incident, HumanGood notified the service provider and conducted an investigation of the incident. HumanGood also notified the Federal Bureau of Investigation and the Pleasanton Police Department to prevent fraudulent activity. HumanGood has notified the affectedCalifornia residents with the attached letter. As referenced in the letter, HumanGood will provide 12 months of credit monitoring and identity protection services through AllClear ID. Please contact me should you have any questions.""","California Attorney General","https://oag.ca.gov/ecrime/databreach/reports/sb24-103240",2017,37.662431,-121.874679,NA,NA,"",4844,2017-11-03,2017-11-14,11,2.39789527279837,8.48549610467298,0
"11/14/2017","Sports Medicine & Rehabilitation Therapy, Inc.","","MA","HACK","MED","7000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",7000,2017-11-14,2017-11-15,1,0,8.85366542803745,0
"11/15/2017","UPMC Susquehanna","","PA","HACK","MED","1208","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",1208,2017-11-15,2017-11-17,2,0.693147180559945,7.09672137849476,0
"11/17/2017","Pizza Hut","Plano","Texas","HACK","BSO","60,000","""If you kicked October off with a Pizza Hut pizza, you might want to keep a close eye on your credit report – and credit card statement.The chain has emailed some patrons alerting them their personal information might have been compromised after hackers gained access to its website and app.Roughly 60,000 customers are thought to have been impacted by the “third party security intrusion.” Emails to customers said the hack occurred over a 28-hour period from the morning of Oct. 1 to midday Oct. 2.Among the data that might have been compromised are customer names, billing ZIP codes, delivery addresses, email addresses, and payment card information, such as account numbers, expiration dates and Card Verification Value numbers.""","Media","http://fortune.com/2017/10/17/pizza-hut-data-breach/",2017,33.074711,-96.835125,NA,NA,"",60000,2017-11-17,2017-11-17,0.221813754411414,-1.50591719331313,11.0020998412042,0
"11/17/2017","UPMC Susquehanna","Williamsport","Pennsylvania","HACK","MED","1,200","""UPMC Susquehanna has notified 1,200 patients treated at various UPMC Susquehanna locations that their personal information — including names, dates of birth, contact information and Social Security numbers — may have been inappropriately accessed.In a release sent out Friday morning, UPMC Susquehanna privacy officer David Samar said health care system apologized for the breach. “We apologize for any concern or inconvenience that this may cause for our patients. I want to stress that patient care was never affected. UPMC is committed to meeting our patients’ privacy expectations. We cannot confirm if any of the information was used for improper purposes, but out of an abundance of caution we deemed it appropriate to inform those possibly affected by this breach.”The breach was discovered on Sept. 21, when an employee reported suspicious activity to the information technology staff. As a result of UPMC Susquehanna’s internal investigation, it is believed that through a phishing attack the information may have been accessed.""","Media","http://www.dailyitem.com/news/upmc-susquehanna-notifies-patients-of-data-breach/article_ee1b32c6-cbb6-11e7-97e6-bf68278e1b03.html",2017,41.24119,-77.001079,NA,NA,"",1200,2017-11-17,2017-11-17,0.420215893303975,-0.866986668097616,7.09007683577609,0
"11/17/2017","The Medical College of Wisconsin, Inc.","","WI","HACK","MED","9500","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",9500,2017-11-17,2017-11-18,1,0,9.15904707758863,0
"11/18/2017","Medical College of Wisconsin","Wauwatosa","Wisconsin","HACK","MED","9,500","""The Medical College of Wisconsin has notified thousands of patients their confidential information may have been compromised.The information includes addresses, bank accounts and Social Security numbers.The Medical College has disclosed 9,500 of its patients are now victims of a targeted attack that happened sometime in late July.An unauthorized third party accessed employee email accounts, which contained private patient information such as their date of birth, home address, medical record numbers and diagnosis.""","Media","http://www.wqow.com/story/36879172/2017/11/Saturday/medical-college-of-wisconsin-hit-by-data-security-breach",2017,43.049457,-88.007588,NA,NA,"",9500,2017-11-18,2017-11-21,3,1.09861228866811,9.15904707758863,0
"11/21/2017","Uber","San Francisco","California","HACK","BSO","57,000,000","""Uber disclosed Tuesday that hackers had stolen 57 million driver and rider accounts and that the company had kept the data breach secret for more than a year after paying a $100,000 ransom.The deal was arranged by the company’s chief security officer and under the watch of the former chief executive, Travis Kalanick, according to several current and former employees who spoke on the condition of anonymity because the details were private.The security officer, Joe Sullivan, has been fired. Mr. Kalanick was forced out in June, although he remains on Uber’s board.The two hackers stole data about the company’s riders and drivers — including phone numbers, email addresses and names — from a third-party server and then approached Uber and demanded $100,000 to delete their copy of the data, the employees said.""","Media","https://www.nytimes.com/2017/11/21/technology/uber-hack.html",2017,37.77493,-122.419416,NA,NA,"",5.7e+07,2017-11-21,2017-11-21,0.333520805696025,-1.09805002967725,17.8585618257988,0
"11/21/2017","Baptist Health Louisville","","KY","HACK","MED","880","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",880,2017-11-21,2017-11-27,6,1.79175946922805,6.77992190747225,0
"11/27/2017","Imgur","San Francisco","California","HACK","BSO","1,700,000","""Image-hosting website Imgur discovered at the end of last week that hackers broke into its systems in 2014, and stole the account details of some 1.7 million registered users.Imgur found out about the historic hack when HaveIBeenPwned‘s Troy Hunt contacted the company on Thursday 23 November, which was a national Thanksgiving holiday in the United States.On November 23, Imgur was notified of a potential security breach that occurred in 2014 that affected the email addresses and passwords of 1.7 million user accounts. While we are still actively investigating the intrusion, we wanted to inform you as quickly as possible as to what we know and what we are doing in response.""","Media","https://www.welivesecurity.com/2017/11/27/imgur-hackers-stole-email-addresses-passwords/",2014,37.77493,-122.419416,NA,NA,"",1700000,2017-11-27,2017-11-27,0.864807550329715,-0.145248281971714,14.3461388090264,0
"11/27/2017","Pulmonary Specialists of Louisville, PSC","","KY","HACK","MED","32000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",32000,2017-11-27,2017-11-28,1,0,10.3734911817819,0
"11/28/2017","Hackensack Sleep and Pulmonary Center","","NJ","HACK","MED","16474","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",16474,2017-11-28,2017-12-01,3,1.09861228866811,9.70953865950119,0
"12/1/2017","Sinai Health System ","","IL","HACK","MED","11347","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",11347,2017-12-01,2017-12-01,0.177194535732269,-1.73050707801196,9.33670867079099,0
"12/1/2017","CCRM Minneapolis, P.C.","","MN","HACK","MED","3280","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",3280,2017-12-01,2017-12-04,3,1.09861228866811,8.09559870137819,0
"12/4/2017","TIO Networks","Vancouver","British Columbia","HACK","BSO","1,600,000","""PayPal's recently-acquired payment processor TIO Networks has revealed that up to 1.6 million customers have had their information stolen in a recent data breach.Last week, the Vancouver, Canada-based TIO Networks said that following the suspension of operations, evidence has been uncovered of a data breach due to ""unauthorized access.""In a statement, the company said that unknown attackers were able to gain access to ""locations that stored personal information of some of TIO's customers and customers of TIO billers.""In total, up to 1.6 million customers may have had their information leaked, which could include personally identifiable information (PII) or potentially financial data.""","Media","http://www.zdnet.com/article/paypals-tio-networks-reveals-data-breach-impacted-1-6-million-users/",2017,49.282729,-123.120738,NA,NA,"",1600000,2017-12-04,2017-12-05,1,0,14.28551418721,0
"12/5/2017","Bronson Healthcare Group","","MI","HACK","MED","8256","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",8256,2017-12-05,2017-12-05,0.49331872863695,-0.706599805444586,9.01869548772134,0
"12/5/2017","Oklahoma Department of Human Services","","OK","HACK","MED","47000","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",47000,2017-12-05,2017-12-06,1,0,10.7579028806922,0
"12/6/2017","Austin Manual Therapy Associates","","TX","HACK","MED","1750","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",1750,2017-12-06,2017-12-07,1,0,7.46737106691756,0
"12/7/2017","Columbus Surgery Center, LLC ","","NE","HACK","MED","7221","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",7221,2017-12-07,2017-12-07,0.429713366786018,-0.844636881433395,8.88474872645118,0
"12/7/2017","Eye Physicians, P.C.","","NE","HACK","MED","2620","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",2620,2017-12-07,2017-12-12,5,1.6094379124341,7.87092959675514,0
"12/12/2017","Midland County Hospital District d/b/a Midland Memorial Hospital  ","","TX","HACK","MED","1160","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",1160,2017-12-12,2017-12-12,0.564263842999935,-0.572233330134063,7.05617528410041,0
"12/12/2017","Pharmacy Innovations","","NY","HACK","MED","1205","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",1205,2017-12-12,2017-12-14,2,0.693147180559945,7.09423484592476,0
"12/14/2017","Compassion Care Hospice Las Vegas, LLC","","NV","HACK","MED","1128","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",1128,2017-12-14,2017-12-14,0.656162315513939,-0.421347088458461,7.028201432058,0
"12/14/2017","Kaiser Foundation Health Plan, Inc.","","CA","HACK","MED","4389","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",4389,2017-12-14,2017-12-19,5,1.6094379124341,8.38685668968823,0
"12/19/2017","Sheldon M. Golden O.D., Optometric Corporation","","CA","HACK","MED","7583","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",7583,2017-12-19,2017-12-20,1,0,8.93366417870094,0
"12/20/2017","BEE Reno Dental, LLC","","NV","HACK","MED","3898","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",3898,2017-12-20,2017-12-20,0.97855406277813,-0.021679243004787,8.26821888006751,0
"12/20/2017","Absolute Dental Hygiene, LLC","","OR","HACK","MED","871","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",871,2017-12-20,2017-12-27,7,1.94591014905531,6.7696419768525,0
"12/27/2017","Longs Peak Family Practice, P.C.","","CO","HACK","MED","16238","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",16238,2017-12-27,2017-12-27,0.232161148451269,-1.4603235430491,9.69510945342239,0
"12/27/2017","Colorado Department of Human Services","","CO","HACK","MED","639","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",639,2017-12-27,2017-12-28,1,0,6.45990445437753,0
"12/28/2017","Miracle-Ear, Inc. and Amplifon (USA), Inc.","","MN","HACK","MED","554","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2017,NA,NA,NA,NA,"",554,2017-12-28,2018-01-02,5,1.6094379124341,6.31716468674728,0
"1/2/2018","Multnomah Athletic Club","Olympia","Washington","HACK","BSO","661","Multnomah Athletic Club suffered a security breach that resulted in the exposure of six hundred sixty one (661) Washington residents, when multiple shredding bins located on the premises were stolen by multiple unknown individuals on December 2, 2017. ","Security Breach Letter","http://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MultnomahAthleticClub.2018-01-10.pdf",2017,47.037874,-122.900695,NA,NA,"",661,2018-01-02,2018-01-03,1,0,6.49375383985169,0
"1/3/2018","WEI Mortgage","","","HACK","BSF","263","On or around September 20, 2017, WEI Mortgage received reports of unusual activity in an employee’s email account. WEI Mortgage immediately launched an investigation to confirm the security of its network and determine the nature and scope of the incident, which included working with third-party forensic investigators. Through the investigation, WEI Mortgage learned it was the victim of an email phishing attack, resulting in unauthorized access to certain employee email accounts. The investigation determined personal information for certain individuals was present in impacted email accounts. Based upon available forensic evidence, it appears the impacted email accounts may have been subject to unauthorized access between September 13 and September 28, 2017. The investigation determined that the following information for certain Oregon residents was present in the impacted email accounts: name, address, and Social Security number. To date, the investigation has found no evidence of actual or attempted misuse of personal information present in the impacted email accounts.Notice to Oregon Residents:Beginning on or around December 8, 2017, WEI Mortgage began mailing written notice of this incident to potentially affected individuals, which includes approximately two hundred sixty-three (263) Oregon residents","Government Agency","https://justice.oregon.gov/consumer/DataBreach/Home/GetBreach/715950427",2017,37.09024,-95.712891,NA,NA,"",263,2018-01-03,2018-01-05,2,0.693147180559945,5.57215403217776,0
"1/5/2018","Agency for Health Care Administration","","FL","HACK","MED","30000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",30000,2018-01-05,2018-01-05,0.113507706439123,-2.17588454622361,10.3089526606443,0
"1/5/2018","BeautyBlender","Bethlehem","Pennsylvania","HACK","BSR","3,982","Beautyblender was recently contacted by two customers reporting fraud on credit cards used to make purchases on our site. Beautyblender discovered what it believed was a form of malicious code on its site on October 26, 2017 which it then removed. The specific information that may have been obtained by the unidentified third party included the customers’ name, billing address, full credit card number, expiration date, and CVV number, affecting 3,673 California residents. A third party forensic investigator was also retained to assist with beautyblender’s investigation. On November 27, 2017, the forensic investigator confirmed that the malware inserted into the website collected certain payment card information used at checkout.On January 5, 2018, beautyblender will begin providing written notice of this incident to all potentially affected customers, which includes three thousand, six hundred and seventy-three (3,673) California residents. On January 5, 2018, beautyblender will begin providing written notice of this incident to all potentially affected customers, which includes three hundred and nine (309) Oregon residents. ","California Attorney General","https://oag.ca.gov/system/files/Rea.deeming%20Beauty%20-%20Notice%20of%20Data%20Event%20-%20CA%20-%20Exhibit%201_0.pdf",2017,40.625932,-75.370458,NA,NA,"",3982,2018-01-05,2018-01-05,0.240811596158892,-1.42374040990094,8.28953948462414,0
"1/5/2018","RBC Royal Bank","Toronto","Ontario","HACK","BSF","66,000","On 10/3/2017 the RBC Royal Bank suffered a hack that affected approximately 66,000 records, which included credit card or financial account information. ","Security Breach Letter","",2017,43.653226,-79.383184,NA,NA,"",66000,2018-01-05,2018-01-05,0.796836083987728,-0.227106287607958,11.0974100210086,0
"1/5/2018","Rea.deeming Beauty, Inc. /d/b/a/ beautyblender","Bethlehem","Pennsylvania","HACK","BSO","18,133","On 4/23/2015 Rea.deeming Beauty, Inc. suffered a data breach affecting 18,133 records, including credit card or financial account information. The breach was discovered on 11/27/2017 and consumers were notified on 1/5/2018.  ","Security Breach Letter","",2017,40.625932,-75.370458,NA,NA,"",18133,2018-01-05,2018-01-05,0.831671715015545,-0.184317489324079,9.80548876165403,0
"1/5/2018","Oklahoma State University ","","OK","HACK","MED","279865","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",279865,2018-01-05,2018-01-08,3,1.09861228866811,12.542062623026,0
"1/8/2018","Cetera Advisors, LLC","Denver","Colorado","HACK","BSF","1,280","Cetera Advisors, LLC suffered a hack on 11/8/2017, affecting 1,260 records, exposing social security numbers.","Security Breach Letter","",2017,39.739236,-104.990251,NA,NA,"",1280,2018-01-08,2018-01-09,1,0,7.15461535691366,0
"1/9/2018","talentReef, Inc.","Denver","Colorado","HACK","BSO","11,603","On Nov. 29, 2017, talentReef, Inc. discovered that an unauthorized individual may have gained access to an employees email account. The breach affected 11,603 records, including Social security numbers, name, driver's license number, credit card or financial information and debit card numbers. ","Security Breach Letter","",2017,39.739236,-104.990251,NA,NA,"",11603,2018-01-09,2018-01-10,1,0,9.35901896434754,0
"1/10/2018","PetSmart, Inc.","Phoenix","Arizona","HACK","BSR","1,434","Petssmart suffered a breach affecting 1,434 records from 12/19/2017-12/26/2017. The breach was discovered on 12/22/2017 and notified the public on 1/10/2018","Security Breach Letter","",2017,33.448377,-112.074037,NA,NA,"",1434,2018-01-10,2018-01-10,0.143626942764968,-1.94053601625567,7.26822302115957,0
"1/10/2018","Broward College","Fort Lauderdale","Florida","HACK","EDU","44,000","On or about August 3, 2017, Broward College employees received a spam phishing email to their email accounts. The school learned that certain employees had clicked on the link and provided their credentials. Between July 18, 2017 and September 8 2017, Broward college determined that records were exposed including name, date of birth, address, social security number, financial account numbers, credit/debit card numbers, and/or driver's license or state identification card number. The breach affected 44,000 records.","Security Breach Letter","",2017,26.122439,-80.137317,NA,NA,"",44000,2018-01-10,2018-01-10,0.147322899661958,-1.91512850485421,10.6919449129004,0
"1/10/2018","Alton Lane","Concord","New Hampshire","HACK","BSR","1,208","In late Nov. 2017, Alton Lane received notice that in or about November of 2017, malicious code was injected into its IT systems, allowing unauthorized access to certain data, including personal and financial information, that was stored on or managed by the systems. The time period of this code appears to have impacted users is approximately November of 2016 through November of 2017, unauthorized users may have had access to consumer information collected by Alton Lane via its website, affecting five (5) New Hampshire residents.  ","Government Agency","https://www.doj.nh.gov/consumer/security-breaches/documents/alton-lane-20180110.pdf",2016,43.208137,-71.537572,NA,NA,"",1208,2018-01-10,2018-01-10,0.963312016334385,-0.037377915161216,7.09672137849476,0
"1/10/2018","Alton Lane","","New Hampshire","HACK","BSR","5","In late November 2017, Alton Lane received notice that in or about November 2016, malicious code was injected into its information technology systems. Unauthorized users may have had access to consumer information collected by Alton Lane via its website. ","Security Breach Letter","https://www.doj.nh.gov/consumer/security-breaches/documents/alton-lane-20180110.pdf",2017,37.09024,-95.712891,NA,NA,"",5,2018-01-10,2018-01-12,2,0.693147180559945,1.6094379124341,0
"1/12/2018","Onco360 and CareMed Speciality Pharmacy","Louisville","Kentucky","HACK","MED","53,173","Breach affecting 53,173 records was reported on 1/12/2018, including social security numbers, names, and credit card or financial account information. ","Security Breach Letter","",2017,38.252665,-85.758456,NA,NA,"",53173,2018-01-12,2018-01-12,0.507035602582619,-0.67917405579996,10.8813060277015,0
"1/12/2018","Guaranteed Rate, Inc.","Chicago","Illinois","HACK","BSF","187,788","Guaranteed Rate, Inc. suffered a breach on 6/9/2017 until 10/2/2017 affecting 187,788 records, including Social Security numbers, names, driver's license numbers, credit and debit card information and account information, and state ID numbers. ","Security Breach Letter","",2017,41.878114,-87.629798,NA,NA,"",187788,2018-01-12,2018-01-12,0.925229935208336,-0.0777129937566479,12.1430689459512,0
"1/12/2018","Onco360 and CareMed Specialty Pharmacy ","","KY","HACK","MED","53173","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",53173,2018-01-12,2018-01-17,5,1.6094379124341,10.8813060277015,0
"1/17/2018","Valley of the Sun YMCA","Phoenix","Arizona","HACK","NGO","2,649","On 9/21/2017 Valley of the Sun YMCA suffered a system breach (hack) that affected 2649 records, which included names as well as credit card or financial account information.","Security Breach Letter","",2017,33.448377,-112.074037,NA,NA,"",2649,2018-01-17,2018-01-18,1,0,7.88193748927207,0
"1/18/2018","University of Idaho","Moscow","Idaho","HACK","EDU","257","The university detected that one of their accounts was being used to send phishing email. An investigation determined that the employees email messages contained personal information for 257 individuals. Information included names, addresses and social security numbers. ","Security Breach Letter","",2017,0,0,NA,NA,"",257,2018-01-18,2018-01-18,0.15485101705417,-1.86529180458856,5.54907608489522,0
"1/18/2018","The Pediatric Endocrinology and Diabetes Specialists","","NV","HACK","MED","1021","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",1021,2018-01-18,2018-01-19,1,0,6.92853781816467,0
"1/19/2018","Idaho Transportation Department","","Idaho","HACK","GOV","8","On Jan. 2, 2018, the Idaho Transportation Department's Cyber Security Unit discovered an internal email account was compromised through a phishing attack. The Division of Motor Vehicles employee account was accessible from Nov. 11, 2017 through Dec. 7, 2017. The email account contained personal identifiable and payment card information for eight individuals. ","Security Breach Letter","",2017,37.09024,-95.712891,NA,NA,"",8,2018-01-19,2018-01-19,0.147845706902444,-1.91158606995038,2.07944154167984,0
"1/19/2018","Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.","Rockville","Maryland","HACK","NGO","9,769","On 16/21/2017 Westminster Ingleside suffered a hack that affected 9769 records, including SS numbers, names, and credit card or financial account information. ","Security Breach Letter","",2017,39.083997,-77.152758,NA,NA,"",9769,2018-01-19,2018-01-19,0.311772374436259,-1.16548192655227,9.18696938565294,0
"1/19/2018","OnePlus","Shenzhen","Guangdong","HACK","BSR","40,000","OnePlus has confirmed that up to 40,000 customers have been affected by a credit card breach, in the latest embarrassing misstep for the Chinese handset maker. The news comes several days after OnePlus shut down credit card processing following complaints from customers about fraudulent charges landing on their cards after they bought products through OnePlus’s online store.OnePlus offered an explanation of what had happened on its website.“One of our systems was attacked, and a malicious script was injected into the payment page code to sniff out credit card info while it was being entered,” the company said. “The malicious script operated intermittently, capturing and sending data directly from the user’s browser. It has since been eliminated. We have quarantined the infected server and reinforced all relevant system structures.”The affected users entered their card information on OnePlus’s store between mid-November and January. Customers who made purchases with a saved card “should not” be affected, OnePlus said. The same goes for ones who paid with PayPal or credit card via PayPal. Affected users will be offered a year of credit monitoring.","Media","https://forums.oneplus.net/threads/jan-19-update-an-update-on-credit-card-security.752415/",2017,22.543096,114.057865,NA,NA,"",40000,2018-01-19,2018-01-19,0.348302052123472,-1.05468520980017,10.5966347330961,0
"1/19/2018","Securadyne Systems LLC","Dallas","Texas","HACK","BSR","112","On or about September 12, 2017, Securadyne discovered that it had become the target of a phishing email campaign and that several employees had clicked on the phishing email and entered their credentials. Securadyne immediately took steps to secure the employees' email accounts and launched an in-depth investigation to determine whether any sensitive information was accessed or acquired. Securadyne subsequently determined, with the help of outside computer forensic investigators, that an unknown actor had gained access to the Securadyne employees' email accounts. On November 7, 2017, Securadyne determined, after a lengthy programmatic and manual review of the contents of the email accounts, the types of protected information contained in the email accounts and to which individuals the information relates, and immediately launched a review of its files to ascertain address information for the impacted individuals.","Security Breach Letter","",2017,32.776664,-96.796988,NA,NA,"",112,2018-01-19,2018-01-19,0.351573409279808,-1.0453367437904,4.71849887129509,0
"1/19/2018","Questar Assessment","Apple Valley","Minnesota","HACK","EDU","52","A data breach at testing vendor Questar Assessment exposed personal information of about 52 students in five New York schools, state Education Commissioner MaryEllen Elia said Thursday.Questar, headquartered in Apple Valley, Minnesota, reported that someone accessed a small amount of “personally identifiable” information from Dec. 30 to Jan. 2, Elia said. The data included some student names, identification numbers, grade levels and teachers’ names, but not student addresses, Social Security numbers, disability status or test scores.","Media","http://newyork.cbslocal.com/2018/01/19/questar-data-breach/",2017,34.500831,-117.185876,NA,NA,"",52,2018-01-19,2018-01-19,0.659821025794372,-0.415786653774553,3.95124371858143,0
"1/19/2018","Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.","","MD","HACK","MED","5228","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",5228,2018-01-19,2018-01-22,3,1.09861228866811,8.56178407474411,0
